id,heart-rate,variance,target
199,58,2,1
200,57,-1,1
201,58,1,1
202,62,4,1
203,61,-1,1
204,63,2,1
205,61,-2,1
206,60,-1,1
207,58,-2,1
208,57,-1,1
209,55,-2,1
210,54,-1,1
211,56,2,1
212,60,4,1
213,59,-1,1
214,58,-1,1
215,57,-1,1
216,56,-1,1
217,55,-1,1
218,56,1,1
219,57,1,1
220,58,1,1
221,57,-1,1
222,58,1,1
223,56,-2,1
224,60,4,1
225,61,1,1
226,59,-2,1
227,58,-1,1
228,57,-1,1
229,55,-2,1
230,54,-1,1
231,55,1,1
232,56,1,1
233,55,-1,1
234,54,-1,1
235,56,2,1
236,55,-1,1
237,56,1,1
238,55,-1,1
239,54,-1,1
240,60,6,1
241,59,-1,1
242,57,-2,1
243,58,1,1
244,58,0,1
245,57,-1,1
246,56,-1,1
247,56,0,1
248,58,2,1
249,57,-1,1
250,56,-1,1
251,57,1,1
252,56,-1,1
253,55,-1,1
254,54,-1,1
255,53,-1,1
256,56,3,1
257,58,2,1
258,61,3,1
259,58,-3,1
260,56,-2,1
261,57,1,1
262,60,3,1
263,60,0,1
264,60,0,1
265,58,-2,1
266,58,0,1
267,57,-1,1
268,59,2,1
269,60,1,1
270,59,-1,1
271,60,1,1
272,58,-2,1
273,56,-2,1
274,58,2,1
275,61,3,1
276,56,-5,1
277,57,1,1
278,56,-1,1
279,55,-1,1
280,56,1,1
281,55,-1,1
282,60,5,1
283,61,1,1
284,58,-3,1
285,60,2,1
286,58,-2,1
287,57,-1,1
288,58,1,1
289,57,-1,1
290,57,0,1
291,57,0,1
292,57,0,1
293,56,-1,1
294,56,0,1
295,55,-1,1
296,53,-2,1
297,54,1,1
298,55,1,1
299,57,2,1
300,58,1,1
301,57,-1,1
302,56,-1,1
303,57,1,1
304,56,-1,1
305,57,1,1
306,59,2,1
307,58,-1,1
308,59,1,1
309,57,-2,1
310,55,-2,1
311,55,0,1
312,56,1,1
313,57,1,1
314,58,1,1
315,59,1,1
316,59,0,1
317,61,2,1
318,60,-1,1
319,58,-2,1
320,56,-2,1
321,55,-1,1
322,56,1,1
323,55,-1,1
324,54,-1,1
325,55,1,1
326,56,1,1
327,57,1,1
328,56,-1,1
329,57,1,1
330,55,-2,1
331,56,1,1
332,57,1,1
333,59,2,1
334,58,-1,1
335,57,-1,1
336,56,-1,1
337,55,-1,1
338,54,-1,1
339,55,1,1
340,54,-1,1
341,55,1,1
342,56,1,1
343,57,1,1
344,55,-2,1
345,55,0,1
346,56,1,1
347,55,-1,1
348,56,1,1
349,55,-1,1
350,54,-1,1
351,54,0,1
352,55,1,1
353,55,0,1
354,56,1,1
355,55,-1,1
356,54,-1,1
357,55,1,1
358,54,-1,1
359,55,1,1
360,54,-1,1
361,55,1,1
362,56,1,1
363,57,1,1
364,56,-1,1
365,55,-1,1
366,55,0,1
367,54,-1,1
368,53,-1,1
369,54,1,1
370,55,1,1
371,54,-1,1
372,54,0,1
373,55,1,1
374,54,-1,1
375,55,1,1
376,54,-1,1
377,55,1,1
378,54,-1,1
379,54,0,1
380,54,0,1
381,55,1,1
382,55,0,1
383,54,-1,1
384,55,1,1
385,54,-1,1
386,54,0,1
387,53,-1,1
388,54,1,1
389,54,0,1
390,55,1,1
391,54,-1,1
392,55,1,1
393,54,-1,1
394,54,0,1
395,55,1,1
396,54,-1,1
397,55,1,1
398,54,-1,1
399,54,0,1
400,54,0,1
401,55,1,1
402,54,-1,1
403,55,1,1
404,54,-1,1
405,53,-1,1
406,54,1,1
407,53,-1,1
408,54,1,1
409,53,-1,1
410,53,0,1
411,53,0,1
412,53,0,1
413,53,0,1
414,53,0,1
415,54,1,1
416,53,-1,1
417,54,1,1
418,54,0,1
419,53,-1,1
420,54,1,1
421,55,1,1
422,54,-1,1
423,53,-1,1
424,53,0,1
425,53,0,1
426,53,0,1
427,54,1,1
428,53,-1,1
429,53,0,1
430,53,0,1
431,53,0,1
432,54,1,1
433,53,-1,1
434,54,1,1
435,54,0,1
436,53,-1,1
437,53,0,1
438,54,1,1
439,54,0,1
440,54,0,1
441,54,0,1
442,54,0,1
443,54,0,1
444,55,1,1
445,55,0,1
446,54,-1,1
447,54,0,1
448,54,0,1
449,55,1,1
450,56,1,1
451,55,-1,1
452,55,0,1
453,55,0,1
454,55,0,1
455,54,-1,1
456,55,1,1
457,55,0,1
458,56,1,1
459,55,-1,1
460,55,0,1
461,56,1,1
462,55,-1,1
463,55,0,1
464,55,0,1
465,56,1,1
466,55,-1,1
467,54,-1,1
468,54,0,1
469,55,1,1
470,56,1,1
471,55,-1,1
472,55,0,1
473,55,0,1
474,55,0,1
475,56,1,1
476,56,0,1
477,56,0,1
478,56,0,1
479,56,0,1
480,56,0,1
481,55,-1,1
482,55,0,1
483,53,-2,1
484,54,1,1
485,54,0,1
486,55,1,1
487,56,1,1
488,56,0,1
489,56,0,1
490,57,1,1
491,58,1,1
492,57,-1,1
493,58,1,1
494,56,-2,1
495,55,-1,1
496,56,1,1
497,55,-1,1
498,54,-1,1
499,53,-1,1
500,52,-1,1
501,52,0,1
502,53,1,1
503,54,1,1
504,53,-1,1
505,54,1,1
506,53,-1,1
507,53,0,1
508,55,2,1
509,54,-1,1
510,53,-1,1
511,53,0,1
512,54,1,1
513,55,1,1
514,54,-1,1
515,55,1,1
516,56,1,1
517,55,-1,1
518,54,-1,1
519,53,-1,1
520,54,1,1
521,55,1,1
522,54,-1,1
523,53,-1,1
524,54,1,1
525,55,1,1
526,54,-1,1
527,54,0,1
528,55,1,1
529,54,-1,1
530,53,-1,1
531,53,0,1
532,54,1,1
533,54,0,1
534,54,0,1
535,53,-1,1
536,54,1,1
537,55,1,1
538,54,-1,1
539,53,-1,1
540,54,1,1
541,54,0,1
542,53,-1,1
543,53,0,1
544,54,1,1
545,55,1,1
546,54,-1,1
547,54,0,1
548,53,-1,1
549,53,0,1
550,54,1,1
551,55,1,1
552,54,-1,1
553,53,-1,1
554,53,0,1
555,54,1,1
556,54,0,1
557,53,-1,1
558,53,0,1
559,54,1,1
560,54,0,1
561,54,0,1
562,53,-1,1
563,53,0,1
564,54,1,1
565,55,1,1
566,54,-1,1
567,55,1,1
568,54,-1,1
569,55,1,1
570,54,-1,1
571,54,0,1
572,54,0,1
573,54,0,1
574,53,-1,1
575,52,-1,1
576,53,1,1
577,54,1,1
578,53,-1,1
579,54,1,1
580,53,-1,1
581,53,0,1
582,54,1,1
583,53,-1,1
584,53,0,1
585,54,1,1
586,69,15,1
587,69,0,1
588,68,-1,1
589,66,-2,1
590,58,-8,1
591,57,-1,1
592,55,-2,1
593,54,-1,1
594,53,-1,1
595,53,0,1
596,55,2,1
597,54,-1,1
598,53,-1,1
599,52,-1,1
600,52,0,1
601,52,0,1
602,52,0,1
603,50,-2,1
604,50,0,1
605,51,1,1
606,53,2,1
607,53,0,1
608,53,0,1
609,60,7,1
610,71,11,1
611,69,-2,1
612,58,-11,1
613,57,-1,1
614,55,-2,1
615,56,1,1
616,59,3,1
617,57,-2,1
618,56,-1,1
619,55,-1,1
620,54,-1,1
621,54,0,1
622,55,1,1
623,54,-1,1
624,55,1,1
625,56,1,1
626,55,-1,1
627,54,-1,1
628,53,-1,1
629,54,1,1
630,56,2,1
631,55,-1,1
632,54,-1,1
633,55,1,1
634,54,-1,1
635,55,1,1
636,55,0,1
637,55,0,1
638,54,-1,1
639,54,0,1
640,53,-1,1
641,54,1,1
642,55,1,1
643,54,-1,1
644,53,-1,1
645,53,0,1
646,54,1,1
647,54,0,1
648,55,1,1
649,54,-1,1
650,53,-1,1
651,54,1,1
652,53,-1,1
653,54,1,1
654,53,-1,1
655,54,1,1
656,53,-1,1
657,54,1,1
658,53,-1,1
659,54,1,1
660,54,0,1
661,53,-1,1
662,54,1,1
663,53,-1,1
664,53,0,1
665,53,0,1
666,53,0,1
667,53,0,1
668,53,0,1
669,54,1,1
670,53,-1,1
671,53,0,1
672,54,1,1
673,53,-1,1
674,54,1,1
675,55,1,1
676,54,-1,1
677,53,-1,1
678,54,1,1
679,55,1,1
680,54,-1,1
681,53,-1,1
682,54,1,1
683,53,-1,1
684,54,1,1
685,53,-1,1
686,53,0,1
687,54,1,1
688,54,0,1
689,54,0,1
690,53,-1,1
691,53,0,1
692,54,1,1
693,54,0,1
694,53,-1,1
695,53,0,1
696,53,0,1
697,53,0,1
698,52,-1,1
699,53,1,1
700,53,0,1
701,53,0,1
702,54,1,1
703,53,-1,1
704,53,0,1
705,52,-1,1
706,53,1,1
707,52,-1,1
708,51,-1,1
709,52,1,1
710,52,0,1
711,53,1,1
712,52,-1,1
713,52,0,1
714,52,0,1
715,51,-1,1
716,51,0,1
717,52,1,1
718,52,0,1
719,51,-1,1
720,51,0,1
721,51,0,1
722,51,0,1
723,51,0,1
724,51,0,1
725,50,-1,1
726,50,0,1
727,50,0,1
728,51,1,1
729,52,1,1
730,51,-1,1
731,50,-1,1
732,50,0,1
733,50,0,1
734,50,0,1
735,50,0,1
736,50,0,1
737,50,0,1
738,49,-1,1
739,49,0,1
740,49,0,1
741,50,1,1
742,50,0,1
743,51,1,1
744,50,-1,1
745,50,0,1
746,50,0,1
747,50,0,1
748,49,-1,1
749,49,0,1
750,49,0,1
751,49,0,1
752,52,3,1
753,54,2,1
754,53,-1,1
755,52,-1,1
756,50,-2,1
757,54,4,1
758,53,-1,1
759,53,0,1
760,52,-1,1
761,51,-1,1
762,50,-1,1
763,49,-1,1
764,48,-1,1
765,47,-1,1
766,46,-1,1
767,46,0,1
768,45,-1,1
769,46,1,1
770,47,1,1
771,49,2,1
772,48,-1,1
773,47,-1,1
774,47,0,1
775,47,0,1
776,48,1,1
777,47,-1,1
778,46,-1,1
779,47,1,1
780,47,0,1
781,53,6,1
782,51,-2,1
783,50,-1,1
784,50,0,1
785,49,-1,1
786,49,0,1
787,48,-1,1
788,47,-1,1
789,47,0,1
790,48,1,1
791,48,0,1
792,49,1,1
793,48,-1,1
794,47,-1,1
795,48,1,1
796,47,-1,1
797,46,-1,1
798,47,1,1
799,48,1,1
800,47,-1,1
801,47,0,1
802,48,1,1
803,48,0,1
804,49,1,1
805,50,1,1
806,51,1,1
807,53,2,1
808,52,-1,1
809,51,-1,1
810,52,1,1
811,51,-1,1
812,50,-1,1
813,51,1,1
814,54,3,1
815,55,1,1
816,54,-1,1
817,55,1,1
818,54,-1,1
819,53,-1,1
820,53,0,1
821,54,1,1
822,56,2,1
823,55,-1,1
824,54,-1,1
825,53,-1,1
826,52,-1,1
827,51,-1,1
828,51,0,1
829,50,-1,1
830,52,2,1
831,51,-1,1
832,52,1,1
833,52,0,1
834,53,1,1
835,56,3,1
836,55,-1,1
837,58,3,1
838,61,3,1
839,59,-2,1
840,58,-1,1
841,57,-1,1
842,58,1,1
843,57,-1,1
844,55,-2,1
845,56,1,1
846,57,1,1
847,59,2,1
848,58,-1,1
849,58,0,1
850,56,-2,1
851,55,-1,1
852,54,-1,1
853,52,-2,1
854,51,-1,1
855,51,0,1
856,50,-1,1
857,51,1,1
858,54,3,1
859,53,-1,1
860,52,-1,1
861,52,0,1
862,51,-1,1
863,52,1,1
864,53,1,1
865,53,0,1
866,54,1,1
867,55,1,1
868,56,1,1
869,56,0,1
870,55,-1,1
871,53,-2,1
872,52,-1,1
873,50,-2,1
874,49,-1,1
875,48,-1,1
876,47,-1,1
877,48,1,1
878,48,0,1
879,50,2,1
880,52,2,1
881,53,1,1
882,52,-1,1
883,51,-1,1
884,50,-1,1
885,49,-1,1
886,49,0,1
887,48,-1,1
888,49,1,1
889,50,1,1
890,52,2,1
891,54,2,1
892,56,2,1
893,57,1,1
894,58,1,1
895,57,-1,1
896,55,-2,1
897,54,-1,1
898,52,-2,1
899,51,-1,1
900,50,-1,1
901,50,0,1
902,50,0,1
903,49,-1,1
904,49,0,1
905,48,-1,1
906,49,1,1
907,48,-1,1
908,48,0,1
909,48,0,1
910,47,-1,1
911,48,1,1
912,49,1,1
913,50,1,1
914,49,-1,1
915,49,0,1
916,49,0,1
917,49,0,1
918,49,0,1
919,48,-1,1
920,48,0,1
921,49,1,1
922,49,0,1
923,50,1,1
924,49,-1,1
925,64,15,1
926,63,-1,1
927,60,-3,1
928,58,-2,1
929,56,-2,1
930,53,-3,1
931,52,-1,1
932,51,-1,1
933,50,-1,1
934,50,0,1
935,49,-1,1
936,48,-1,1
937,47,-1,1
938,48,1,1
939,49,1,1
940,48,-1,1
941,49,1,1
942,48,-1,1
943,47,-1,1
944,48,1,1
945,48,0,1
946,47,-1,1
947,48,1,1
948,47,-1,1
949,46,-1,1
950,47,1,1
951,48,1,1
952,49,1,1
953,50,1,1
954,49,-1,1
955,50,1,1
956,50,0,1
957,51,1,1
958,55,4,1
959,54,-1,1
960,52,-2,1
961,51,-1,1
962,50,-1,1
963,49,-1,1
964,49,0,1
965,50,1,1
966,49,-1,1
967,50,1,1
968,51,1,1
969,51,0,1
970,51,0,1
971,50,-1,1
972,49,-1,1
973,50,1,1
974,49,-1,1
975,49,0,1
976,50,1,1
977,50,0,1
978,49,-1,1
979,48,-1,1
980,47,-1,1
981,47,0,1
982,47,0,1
983,46,-1,1
984,46,0,1
985,47,1,1
986,48,1,1
987,48,0,1
988,48,0,1
989,50,2,1
990,49,-1,1
991,49,0,1
992,49,0,1
993,49,0,1
994,49,0,1
995,48,-1,1
996,48,0,1
997,49,1,1
998,48,-1,1
999,47,-1,1
1000,48,1,1
1001,48,0,1
1002,49,1,1
1003,48,-1,1
1004,47,-1,1
1005,48,1,1
1006,47,-1,1
1007,48,1,1
1008,48,0,1
1009,49,1,1
1010,48,-1,1
1011,49,1,1
1012,49,0,1
1013,48,-1,1
1014,48,0,1
1015,48,0,1
1016,49,1,1
1017,48,-1,1
1018,49,1,1
1019,49,0,1
1020,48,-1,1
1021,48,0,1
1022,49,1,1
1023,49,0,1
1024,48,-1,1
1025,47,-1,1
1026,48,1,1
1027,47,-1,1
1028,47,0,1
1029,48,1,1
1030,48,0,1
1031,48,0,1
1032,48,0,1
1033,47,-1,1
1034,47,0,1
1035,46,-1,1
1036,47,1,1
1037,48,1,1
1038,48,0,1
1039,48,0,1
1040,48,0,1
1041,48,0,1
1042,48,0,1
1043,48,0,1
1044,47,-1,1
1045,47,0,1
1046,48,1,1
1047,47,-1,1
1048,48,1,1
1049,47,-1,1
1050,48,1,1
1051,48,0,1
1052,48,0,1
1053,47,-1,1
1054,47,0,1
1055,47,0,1
1056,47,0,1
1057,47,0,1
1058,47,0,1
1059,47,0,1
1060,47,0,1
1061,47,0,1
1062,47,0,1
1063,47,0,1
1064,47,0,1
1065,47,0,1
1066,47,0,1
1067,48,1,1
1068,48,0,1
1069,48,0,1
1070,48,0,1
1071,48,0,1
1072,47,-1,1
1073,47,0,1
1074,47,0,1
1075,47,0,1
1076,47,0,1
1077,47,0,1
1078,47,0,1
1079,47,0,1
1080,46,-1,1
1081,46,0,1
1082,47,1,1
1083,47,0,1
1084,47,0,1
1085,47,0,1
1086,46,-1,1
1087,47,1,1
1088,47,0,1
1089,47,0,1
1090,47,0,1
1091,47,0,1
1092,47,0,1
1093,48,1,1
1094,48,0,1
1095,48,0,1
1096,48,0,1
1097,48,0,1
1098,47,-1,1
1099,47,0,1
1100,46,-1,1
1101,47,1,1
1102,48,1,1
1103,48,0,1
1104,47,-1,1
1105,47,0,1
1106,46,-1,1
1107,46,0,1
1108,47,1,1
1109,48,1,1
1110,47,-1,1
1111,48,1,1
1112,47,-1,1
1113,47,0,1
1114,48,1,1
1115,48,0,1
1116,48,0,1
1117,48,0,1
1118,48,0,1
1119,47,-1,1
1120,48,1,1
1121,48,0,1
1122,47,-1,1
1123,47,0,1
1124,48,1,1
1125,48,0,1
1126,47,-1,1
1127,47,0,1
1128,48,1,1
1129,47,-1,1
1130,47,0,1
1131,48,1,1
1132,48,0,1
1133,48,0,1
1134,49,1,1
1135,50,1,1
1136,49,-1,1
1137,47,-2,1
1138,46,-1,1
1139,46,0,1
1140,47,1,1
1141,46,-1,1
1142,45,-1,1
1143,46,1,1
1144,46,0,1
1145,47,1,1
1146,47,0,1
1147,47,0,1
1148,47,0,1
1149,47,0,1
1150,47,0,1
1151,47,0,1
1152,48,1,1
1153,47,-1,1
1154,46,-1,1
1155,47,1,1
1156,47,0,1
1157,48,1,1
1158,47,-1,1
1159,48,1,1
1160,47,-1,1
1161,46,-1,1
1162,45,-1,1
1163,46,1,1
1164,45,-1,1
1165,45,0,1
1166,46,1,1
1167,47,1,1
1168,46,-1,1
1169,47,1,1
1170,47,0,1
1171,46,-1,1
1172,46,0,1
1173,46,0,1
1174,46,0,1
1175,45,-1,1
1176,46,1,1
1177,46,0,1
1178,46,0,1
1179,46,0,1
1180,46,0,1
1181,46,0,1
1182,46,0,1
1183,47,1,1
1184,46,-1,1
1185,46,0,1
1186,47,1,1
1187,46,-1,1
1188,45,-1,1
1189,45,0,1
1190,45,0,1
1191,46,1,1
1192,47,1,1
1193,46,-1,1
1194,46,0,1
1195,45,-1,1
1196,46,1,1
1197,46,0,1
1198,45,-1,1
1199,46,1,1
1200,46,0,1
1201,46,0,1
1202,46,0,1
1203,60,14,1
1204,58,-2,1
1205,55,-3,1
1206,53,-2,1
1207,51,-2,1
1208,49,-2,1
1209,48,-1,1
1210,47,-1,1
1211,46,-1,1
1212,46,0,1
1213,46,0,1
1214,45,-1,1
1215,45,0,1
1216,46,1,1
1217,45,-1,1
1218,45,0,1
1219,46,1,1
1220,45,-1,1
1221,45,0,1
1222,46,1,1
1223,45,-1,1
1224,44,-1,1
1225,45,1,1
1226,44,-1,1
1227,45,1,1
1228,46,1,1
1229,46,0,1
1230,46,0,1
1231,47,1,1
1232,46,-1,1
1233,45,-1,1
1234,46,1,1
1235,46,0,1
1236,45,-1,1
1237,46,1,1
1238,46,0,1
1239,47,1,1
1240,47,0,1
1241,47,0,1
1242,46,-1,1
1243,46,0,1
1244,46,0,1
1245,46,0,1
1246,46,0,1
1247,47,1,1
1248,47,0,1
1249,47,0,1
1250,46,-1,1
1251,46,0,1
1252,47,1,1
1253,69,22,1
1254,70,1,1
1255,68,-2,1
1256,65,-3,1
1257,62,-3,1
1258,59,-3,1
1259,56,-3,1
1260,52,-4,1
1261,50,-2,1
1262,48,-2,1
1263,47,-1,1
1264,46,-1,1
1265,44,-2,1
1266,44,0,1
1267,44,0,1
1268,44,0,1
1269,45,1,1
1270,44,-1,1
1271,44,0,1
1272,44,0,1
1273,44,0,1
1274,45,1,1
1275,45,0,1
1276,45,0,1
1277,45,0,1
1278,45,0,1
1279,45,0,1
1280,45,0,1
1281,45,0,1
1282,44,-1,1
1283,43,-1,1
1284,44,1,1
1285,44,0,1
1286,45,1,1
1287,46,1,1
1288,45,-1,1
1289,45,0,1
1290,45,0,1
1291,45,0,1
1292,44,-1,1
1293,45,1,1
1294,44,-1,1
1295,44,0,1
1296,45,1,1
1297,46,1,1
1298,46,0,1
1299,46,0,1
1300,46,0,1
1301,45,-1,1
1302,45,0,1
1303,44,-1,1
1304,45,1,1
1305,45,0,1
1306,45,0,1
1307,45,0,1
1308,45,0,1
1309,45,0,1
1310,45,0,1
1311,46,1,1
1312,47,1,1
1313,46,-1,1
1314,45,-1,1
1315,45,0,1
1316,46,1,1
1317,46,0,1
1318,46,0,1
1319,46,0,1
1320,45,-1,1
1321,45,0,1
1322,46,1,1
1323,45,-1,1
1324,45,0,1
1325,45,0,1
1326,46,1,1
1327,45,-1,1
1328,46,1,1
1329,46,0,1
1330,46,0,1
1331,46,0,1
1332,45,-1,1
1333,45,0,1
1334,45,0,1
1335,45,0,1
1336,46,1,1
1337,45,-1,1
1338,45,0,1
1339,44,-1,1
1340,45,1,1
1341,46,1,1
1342,45,-1,1
1343,44,-1,1
1344,45,1,1
1345,46,1,1
1346,45,-1,1
1347,46,1,1
1348,46,0,1
1349,46,0,1
1350,46,0,1
1351,47,1,1
1352,59,12,1
1353,58,-1,1
1354,56,-2,1
1355,55,-1,1
1356,52,-3,1
1357,50,-2,1
1358,49,-1,1
1359,47,-2,1
1360,47,0,1
1361,47,0,1
1362,47,0,1
1363,47,0,1
1364,48,1,1
1365,47,-1,1
1366,47,0,1
1367,47,0,1
1368,48,1,1
1369,48,0,1
1370,50,2,1
1371,51,1,1
1372,50,-1,1
1373,49,-1,1
1374,52,3,1
1375,51,-1,1
1376,50,-1,1
1377,48,-2,1
1378,47,-1,1
1379,46,-1,1
1380,46,0,1
1381,46,0,1
1382,45,-1,1
1383,48,3,1
1384,51,3,1
1385,50,-1,1
1386,49,-1,1
1387,48,-1,1
1388,48,0,1
1389,49,1,1
1390,48,-1,1
1391,48,0,1
1392,53,5,1
1393,52,-1,1
1394,51,-1,1
1395,50,-1,1
1396,49,-1,1
1397,48,-1,1
1398,48,0,1
1399,48,0,1
1400,48,0,1
1401,48,0,1
1402,49,1,1
1403,50,1,1
1404,49,-1,1
1405,50,1,1
1406,51,1,1
1407,55,4,1
1408,54,-1,1
1409,52,-2,1
1410,51,-1,1
1411,50,-1,1
1412,50,0,1
1413,49,-1,1
1414,49,0,1
1415,49,0,1
1416,49,0,1
1417,50,1,1
1418,49,-1,1
1419,49,0,1
1420,49,0,1
1421,48,-1,1
1422,48,0,1
1423,49,1,1
1424,49,0,1
1425,50,1,1
1426,49,-1,1
1427,49,0,1
1428,49,0,1
1429,49,0,1
1430,50,1,1
1431,49,-1,1
1432,49,0,1
1433,49,0,1
1434,48,-1,1
1435,49,1,1
1436,49,0,1
1437,48,-1,1
1438,49,1,1
1439,49,0,1
1440,48,-1,1
1441,49,1,1
1442,49,0,1
1443,49,0,1
1444,49,0,1
1445,49,0,1
1446,51,2,1
1447,50,-1,1
1448,49,-1,1
1449,48,-1,1
1450,48,0,1
1451,48,0,1
1452,49,1,1
1453,67,18,1
1454,67,0,1
1455,66,-1,1
1456,64,-2,1
1457,61,-3,1
1458,58,-3,1
1459,55,-3,1
1460,53,-2,1
1461,51,-2,1
1462,50,-1,1
1463,50,0,1
1464,51,1,1
1465,51,0,1
1466,50,-1,1
1467,50,0,1
1468,49,-1,1
1469,54,5,1
1470,55,1,1
1471,54,-1,1
1472,53,-1,1
1473,52,-1,1
1474,51,-1,1
1475,49,-2,1
1476,51,2,1
1477,52,1,1
1478,51,-1,1
1479,52,1,1
1480,51,-1,1
1481,51,0,1
1482,51,0,1
1483,49,-2,1
1484,48,-1,1
1485,48,0,1
1486,48,0,1
1487,49,1,1
1488,48,-1,1
1489,49,1,1
1490,49,0,1
1491,49,0,1
1492,50,1,1
1493,51,1,1
1494,53,2,1
1495,52,-1,1
1496,51,-1,1
1497,52,1,1
1498,51,-1,1
1499,52,1,1
1500,51,-1,1
1501,50,-1,1
1502,50,0,1
1503,49,-1,1
1504,48,-1,1
1505,49,1,1
1506,51,2,1
1507,50,-1,1
1508,49,-1,1
1509,51,2,1
1510,50,-1,1
1511,49,-1,1
1512,49,0,1
1513,48,-1,1
1514,48,0,1
1515,48,0,1
1516,48,0,1
1517,48,0,1
1518,48,0,1
1519,49,1,1
1520,50,1,1
1521,50,0,1
1522,51,1,1
1523,50,-1,1
1524,50,0,1
1525,49,-1,1
1526,49,0,1
1527,50,1,1
1528,51,1,1
1529,50,-1,1
1530,51,1,1
1531,50,-1,1
1532,49,-1,1
1533,50,1,1
1534,50,0,1
1535,50,0,1
1536,50,0,1
1537,49,-1,1
1538,49,0,1
1539,48,-1,1
1540,48,0,1
1541,47,-1,1
1542,46,-1,1
1543,45,-1,1
1544,46,1,1
1545,47,1,1
1546,47,0,1
1547,48,1,1
1548,48,0,1
1549,47,-1,1
1550,47,0,1
1551,48,1,1
1552,48,0,1
1553,48,0,1
1554,47,-1,1
1555,46,-1,1
1556,45,-1,1
1557,46,1,1
1558,47,1,1
1559,47,0,1
1560,48,1,1
1561,49,1,1
1562,48,-1,1
1563,49,1,1
1564,48,-1,1
1565,47,-1,1
1566,47,0,1
1567,48,1,1
1568,47,-1,1
1569,47,0,1
1570,48,1,1
1571,47,-1,1
1572,48,1,1
1573,47,-1,1
1574,48,1,1
1575,48,0,1
1576,48,0,1
1577,48,0,1
1578,47,-1,1
1579,48,1,1
1580,47,-1,1
1581,48,1,1
1582,47,-1,1
1583,48,1,1
1584,48,0,1
1585,48,0,1
1586,48,0,1
1587,48,0,1
1588,48,0,1
1589,48,0,1
1590,47,-1,1
1591,47,0,1
1592,48,1,1
1593,47,-1,1
1594,48,1,1
1595,48,0,1
